ax;ay;az;gx;gy;gz;t
1544;296;14732;-10187;714;-2796;65549
1188;-1860;14860;-7606;2427;-5148;65635
176;-2040;15868;-5906;3338;-3720;65720
-228;-3320;15252;-4294;1892;-2159;65805
-656;-4956;15172;-2510;759;-817;65890
-412;-5528;14808;-1163;131;247;65976
-312;-5172;14952;-317;62;487;66061
-52;-4664;14464;438;605;242;66146
-172;-4828;14280;-204;599;104;66232
-440;-5104;14600;-128;994;492;66317
-476;-4948;14720;201;788;234;66402
-768;-4856;14312;-116;775;-113;66487
-1300;-4548;14728;-480;547;-214;66573
-1252;-4848;14444;-468;-51;304;66658
-852;-4944;14532;-357;-403;512;66743
-1080;-5092;14452;-261;-504;940;66829
-1112;-4744;14640;-750;-1241;1688;66914
-632;-5236;14648;-904;-1593;2309;66999
-68;-5772;14280;-120;-876;1690;67084
-56;-5320;14352;348;-551;570;67170
-436;-4080;13772;-1473;-1107;467;67255
-156;-2648;8248;-17513;-1234;2390;67340
352;-18196;21820;-12522;2295;1208;67426
-552;-10696;11504;6886;-938;-1387;67511
-200;-8028;12404;6248;-1147;325;67596
24;-7332;13080;4586;-366;1299;67681
-392;-6496;13944;3292;-737;773;67767
216;-5684;13512;2530;-2476;1500;67852
1040;-6348;13584;380;-1853;2024;67937
1292;-6464;13908;-33;-1583;1452;68022
1348;-6208;13884;381;-829;1345;68108
1500;-6448;14160;456;-280;759;68193
1156;-5940;14096;145;60;142;68278
900;-6328;14408;567;378;-29;68364
904;-5932;14300;401;414;-661;68449
784;-5416;14508;361;-81;-193;68534
1304;-5700;14132;21;4;407;68619
1164;-5860;14512;150;48;0;68705
844;-5644;14056;90;-106;286;68790
1300;-5596;14232;-301;47;202;68875
1288;-5744;14356;-261;134;48;68961
996;-5812;14336;-310;226;-38;69046
960;-5900;14432;46;-16;-153;69131
988;-5776;14108;-117;-13;296;69216
1232;-6052;14160;-154;27;113;69302
1208;-5860;14252;46;-30;38;69387
1208;-5724;14248;69;-41;85;69472
1012;-5644;14392;-80;-51;66;69558
1304;-5636;14356;-152;-80;50;69643
1280;-5860;14144;-192;5;193;69728
1584;-5724;14096;-294;153;73;69813
1780;-4388;10012;-6405;935;121;69899
1188;-7296;12100;-17028;2778;466;69984
-640;-14348;17092;-1392;787;-780;70069
-20;-10364;12444;5221;-1621;509;70155
908;-9004;11696;3448;-1575;1230;70240
1168;-8920;12988;2513;-1226;358;70325
1144;-8340;13280;2420;-825;-45;70410
1132;-7508;13712;2781;-1123;-57;70496
1644;-6708;13612;2479;-1445;466;70581
1916;-6572;13228;1434;-923;660;70666
1900;-6828;13668;391;-487;154;70751
2044;-6872;14160;323;-319;72;70837
2136;-6552;14000;741;-350;95;70922
2068;-6228;13908;440;-199;61;71007
2468;-6032;13848;-253;67;48;71093
2212;-6564;13752;-685;576;-45;71178
1888;-7080;14264;-418;576;-142;71263
2052;-7088;14192;592;340;-470;71348
2032;-6644;14240;647;703;-1343;71434
2016;-5612;13660;647;746;-1371;71519
2164;-6012;14364;-559;695;-2668;71604
2212;-6176;14140;-1344;-268;-2473;71690
2400;-6748;14088;-698;860;-1404;71775
2308;-6532;14072;397;727;-547;71860
2368;-6088;14068;558;639;-228;71945
2040;-6120;14000;424;878;121;72031
1824;-8216;27656;17830;494;-590;72116
1324;960;5612;12334;1508;281;72201
1916;-380;14084;-4014;787;1601;72287
1872;-2020;14824;-9788;618;-1166;72372
1740;-4260;14472;-10102;982;-3943;72457
1276;-4992;15976;-6192;563;-3607;72542
1136;-5700;15012;-1324;-3;-1034;72628
1696;-6484;13976;-626;-146;762;72713
1920;-6944;14204;-453;-267;205;72798
1812;-6284;14120;32;-213;375;72884
1928;-6656;13884;601;380;152;72969
1744;-5832;14424;1019;-112;-185;73054
1080;-5284;14952;692;-604;567;73139
1616;-5676;14404;741;-1652;2298;73225
2416;-5904;14296;1476;-1116;3084;73310
2688;-5876;14088;884;-277;2073;73395
2124;-5620;14284;645;39;703;73480
1896;-4876;15044;1051;96;13;73566
2096;-4380;14616;1186;-282;651;73651
2640;-6320;23088;20982;-152;1809;73736
2280;1000;9328;9423;265;1566;73822
2444;508;14252;-2863;-283;1440;73907
2280;144;15608;-6828;-982;577;73992
2504;-1168;14652;-6011;-259;124;74077
2808;-2396;15396;-6620;-104;325;74163
2576;-3544;14912;-3213;-15;389;74248
2448;-4240;13984;-4216;-531;-283;74333
2672;-4996;14344;-3959;-79;143;74419
2660;-5656;14692;-2044;126;737;74504
